place,id,sector,year,emp,ann_pay,prod_avg,prod_ann_h,prod_ann_w,mat_cost,ship_val,val_added,total_exp
United States,31-33,Manufacturing,2013,11082237,602878129,7747486,15736107,340634768,3456983065,5846767820,2398391759,172991920
United States,311,Food manufacturing,2013,1372158,55651411,1083732,2199512,37950994,491859294,760811230,269172726,15743862
United States,3111,Animal food manufacturing,2013,43655,2243421,29763,63722,1368966,44328521,60716313,16605294,1127020
United States,3112,Grain and oilseed milling,2013,52009,3003632,38347,82128,2047256,74334651,103588735,29029318,1693419
United States,3113,Sugar and confectionery product manufacturing,2013,68488,3057408,50268,100336,2006317,18428755,33336710,14839016,1076062
United States,3114,Fruit and vegetable preserving and specialty food manufacturing,2013,162401,6557045,136312,273447,4728661,38176989,71236234,33218562,1958265
United States,3115,Dairy product manufacturing,2013,129866,6588388,95454,197611,4405106,80982526,111936389,31100300,2301240
United States,3116,Animal slaughtering and processing,2013,475478,15764738,416795,858153,12313631,149917760,205803347,55742126,3505274
United States,3117,Seafood product preparation and packaging,2013,31387,1274031,26198,52110,868300,6733958,11158372,4437729,281432
United States,3118,Bakeries and tortilla manufacturing,2013,245943,9524977,169823,325310,5736034,29607352,66173164,36595528,1700807
United States,3119,Other food manufacturing,2013,162931,7637771,120772,246694,4476723,49348783,96861966,47604852,2100342
United States,312,Beverage and tobacco product manufacturing,2013,149221,8076087,86948,171211,4337214,59900837,147591170,87741063,3925274
United States,3121,Beverage manufacturing,2013,135847,7216087,76850,151416,3810940,51669519,107253207,55609499,3657484
United States,3122,Tobacco manufacturing,2013,13375,860000,10097,19795,526274,8231317,40337963,32131564,267790
United States,313,Textile mills,2013,102867,4098169,83452,170021,2764470,18443274,31283621,12791209,1077051
United States,3131,"Fiber, yarn, and thread mills",2013,24897,833945,22171,45855,653955,5612664,8034506,2406070,258826
United States,3132,Fabric mills,2013,49129,2075275,39571,79628,1409976,8259503,15357618,7035975,608996
United States,3133,Textile and fabric finishing and fabric coating mills,2013,28842,1188949,21710,44538,700539,4571106,7891497,3349165,209229
United States,314,Textile product mills,2013,109027,3804997,83859,160707,2372819,13104055,22826479,9804680,455580
United States,3141,Textile furnishings mills,2013,50672,1785798,40443,77909,1176811,8160201,12974520,4837646,247107
United States,3149,Other textile product mills,2013,58355,2019198,43416,82798,1196008,4943854,9851959,4967034,208474
United States,315,Apparel manufacturing,2013,97442,2768357,77007,141224,1757032,5873459,12322738,6409483,327771
United States,3151,Apparel knitting mills,2013,11977,352898,9915,20000,254726,1021637,2056837,1086313,61962
United States,3152,Cut and sew apparel manufacturing,2013,77730,2175426,61167,110361,1368257,4338429,9132674,4701643,258053
